,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two ($USD),Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country,Total Cuisines Variety
10,6309903,Silantro Fil-Mex,162,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.05791599999999,14.567689000000001,"Filipino, Mexican",15.78,Philippine Peso(PHP),No,No,No,No,3,4.9,Dark Green,Excellent,1070.0,Phillipines,2
11,6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06081999999999,14.570848999999999,"American, Ice Cream, Desserts",17.75,Philippine Peso(PHP),Yes,No,No,No,3,4.2,Green,Very Good,488.0,Phillipines,3
12,6318433,Silantro Fil-Mex,162,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican",15.78,Philippine Peso(PHP),No,No,No,No,3,4.8,Dark Green,Excellent,294.0,Phillipines,2
13,6310470,Guevarra's,162,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",121.03359170000002,14.59345,Filipino,19.72,Philippine Peso(PHP),Yes,No,No,No,3,4.2,Green,Very Good,458.0,Phillipines,1
14,6314605,Sodam Korean Restaurant,162,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",121.03811,14.598889999999999,Korean,13.81,Philippine Peso(PHP),No,No,No,No,3,4.3,Green,Very Good,223.0,Phillipines,1
15,18185059,Cafe Arabelle,162,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.05703999999999,14.237082000000001,"Cafe, American, Italian, Filipino",15.78,Philippine Peso(PHP),No,No,No,No,3,3.6,Yellow,Good,29.0,Phillipines,4
16,18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.05658740000001,14.23767897,"Italian, Pizza",16.77,Philippine Peso(PHP),No,No,No,No,3,4.0,Green,Very Good,72.0,Phillipines,2
17,6318213,Balay Dako,162,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",120.95158899999998,14.101834,Filipino,23.67,Philippine Peso(PHP),Yes,No,No,No,3,4.5,Dark Green,Excellent,211.0,Phillipines,1
18,18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,"Cafe, Korean, Desserts",11.83,Philippine Peso(PHP),No,No,No,No,2,4.5,Dark Green,Excellent,118.0,Phillipines,3
19,6308205,Wildflour Cafe + Bakery,162,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04621999999999,14.549337,"Cafe, Bakery, American, Italian",29.59,Philippine Peso(PHP),Yes,No,No,No,4,4.4,Green,Very Good,392.0,Phillipines,4
20,6315438,NIU by Vikings,162,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545857999999999,"Seafood, American, Mediterranean, Japanese",59.17,Philippine Peso(PHP),Yes,No,No,No,4,4.7,Dark Green,Excellent,535.0,Phillipines,4
21,6310406,The Food Hall by Todd English,162,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood",35.5,Philippine Peso(PHP),Yes,No,No,No,4,4.5,Dark Green,Excellent,618.0,Phillipines,4
22,6600681,Chez Michou,30,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88178889,-15.76414167,"Fast Food, French",9.76,Brazilian Real(R$),No,No,No,No,2,3.0,Orange,Average,6.0,Brazil,2
23,6601005,Cafí© Daniel Briand,30,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88266667,-15.7775,Cafe,5.32,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9.0,Brazil,1
24,6600292,Casa do Biscoito Mineiro,30,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88213611,-15.75747222,Bakery,7.99,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11.0,Brazil,1
25,6600441,Maori,30,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88816667,-15.75883333,Brazilian,10.65,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11.0,Brazil,1
26,6600970,Pizza íæ Bessa,30,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91566667,-15.83116667,Pizza,8.87,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11.0,Brazil,1
27,6600379,Sushi Loko,30,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91566667,-15.831,Japanese,14.2,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10.0,Brazil,1
28,6600214,Beirute,30,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.9075,-15.82,Arabian,15.97,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8.0,Brazil,1
29,6601218,New Koto,30,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91016667,-15.82733333,Japanese,35.5,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5.0,Brazil,1
30,6600083,Villa Tevere,30,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.92366667,-15.83133333,Italian,26.62,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12.0,Brazil,1
31,6601515,Rovereto,30,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.019,-15.83716667,Pizza,17.75,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9.0,Brazil,1
32,6601361,Buena Carne,30,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.01909167,-15.839775,"Bar Food, Brazilian",10.65,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9.0,Brazil,2
33,6601602,Taco Pep,30,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.01666667,-15.83483333,"Mexican, Grill",17.75,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29.0,Brazil,2
34,6601589,Coco Bambu,30,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte","Brasí_lia Shopping, Asa Norte, Brasí_lia",-47.888999999999996,-15.7865,International,40.82,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17.0,Brazil,1
35,6601862,Taypíç,30,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,"Lago Sul, Brasí_lia",-47.872359,-15.860620999999998,"Peruvian, Latin American",17.75,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5.0,Brazil,2
36,6601595,Outback Steakhouse,30,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","ParkShopping, Guaríç I, Brasí_lia",-47.95628333,-15.83451389,"American, Grill",26.62,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,10.0,Brazil,2
37,6601158,Manzuíç,30,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul","Pontí£o Lago Sul, Lago Sul, Brasí_lia",-47.87283333,-15.82566667,Seafood,42.6,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6.0,Brazil,1
38,6600427,Coco Bambu,30,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasí_lia",-47.8685,-15.819,International,40.82,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30.0,Brazil,1
39,6600116,Gero,30,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Brasí_lia",-47.885812,-15.720118,Italian,62.12,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8.0,Brazil,1
40,6601457,Brazilian American Burgers,30,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"Sudoeste, Brasí_lia",-47.92102778,-15.79753056,"American, Burger",8.87,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9.0,Brazil,2
41,7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.376999999999995,-23.0115,"Seafood, Bar Food, Brazilian",24.85,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7.0,Brazil,3
42,7304307,Confeitaria Colombo,30,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"Desserts, Cafe",17.75,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29.0,Brazil,2
43,7301215,Bibi,30,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.18669167,-22.97207222,"Juices, Healthy Food",10.65,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24.0,Brazil,2
44,7300596,Cervantes,30,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",15.97,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29.0,Brazil,3
45,7300612,Amir,30,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.176,-22.96516667,Lebanese,30.17,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11.0,Brazil,1
46,7300704,TT Burger,30,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,Burger,10.65,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19.0,Brazil,1
47,7300955,Braseiro da Gíçvea,30,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,"Gíçvea, Rio de Janeiro",-43.227042,-22.973507,"Brazilian, Bar Food",17.75,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40.0,Brazil,2
48,7300521,Balada Mix,30,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",15.97,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21.0,Brazil,4
49,7300515,Garota de Ipanema,30,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.98533333,"Brazilian, Bar Food",21.3,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49.0,Brazil,2
50,7300483,Zazíç BistríÇ Tropical,30,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.20520833,-22.98531944,Brazilian,30.17,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21.0,Brazil,1
51,7301064,Filí© de Ouro,30,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",-43.219563,-22.966647000000002,Brazilian,15.97,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14.0,Brazil,1
52,7304312,D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.34879167,-22.99991111,Italian,26.62,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,5.0,Brazil,1
53,7300004,Sushi Leblon,30,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.227,-22.98416667,Japanese,44.37,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25.0,Brazil,1
54,7300868,Talho Capixaba,30,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",21.3,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13.0,Brazil,3
55,7302637,Leme Light,30,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.17279167,-22.963925,Brazilian,7.1,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7.0,Brazil,1
56,7302140,Shirley,30,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.17126389,-22.96337222,"Brazilian, Seafood",44.37,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8.0,Brazil,2
57,7302898,Aprazí_vel,30,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.18736944,-22.92481389,Brazilian,53.25,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44.0,Brazil,1
58,7302859,Aconchego Carioca,30,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro",-43.21551111,-22.91370833,"Brazilian, Bar Food",15.09,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24.0,Brazil,2
59,7301700,Garota de Ipanema,30,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro",-43.16266667,-22.94783333,"Brazilian, Bar Food",14.2,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10.0,Brazil,2
60,6706313,Cantina Famiglia Mancini,30,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, Sí£o Paulo",-46.64516667,-23.55066667,"Italian, Pizza",44.37,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49.0,Brazil,2
61,6704326,Templo da Carne - Marcos Bassi,30,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, Sí£o Paulo",-46.64633333,-23.559,"Steak, BBQ",44.37,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17.0,Brazil,2
62,6711179,Gopala Hari,30,Sí£o Paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,"Consolaí_í£o, Sí£o Paulo",-46.65866667,-23.55616667,Indian,12.42,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5.0,Brazil,1
63,6702797,Jiquitaia,30,Sí£o Paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,"Consolaí_í£o, Sí£o Paulo",-46.657523,-23.55671,Brazilian,17.75,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15.0,Brazil,1
64,6700475,Skye - Hotel Unique,30,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, Sí£o Paulo",-46.666851,-23.581688,"Beverages, International",53.25,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59.0,Brazil,2
65,6713413,Les 3 Brasseurs,30,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Itaim Bibi, Sí£o Paulo",-46.67511,-23.582135,"French, Brazilian, Beverages",21.3,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30.0,Brazil,3
66,6714340,Red Steak & Burger,30,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Itaim Bibi, Sí£o Paulo",-46.683888,-23.585324,"Brazilian, Grill",13.31,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5.0,Brazil,2
67,6700402,Paris 6 Classique,30,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",-46.666041,-23.561567999999998,French,35.5,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73.0,Brazil,1
68,6700846,Kawa Sushi,30,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",-46.657418,-23.571638,"Sushi, Japanese",21.3,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9.0,Brazil,2
69,6702159,A Figueira Rubaiyat,30,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",-46.66983333,-23.5655,"BBQ, Grill, Brazilian",53.25,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39.0,Brazil,3
70,6711666,Kinoshita,30,Sí£o Paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,"Moema, Sí£o Paulo",-46.67133333,-23.59233333,Sushi,40.82,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12.0,Brazil,1
71,6701257,Meats,30,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Pinheiros, Sí£o Paulo",-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",21.3,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68.0,Brazil,2
72,6706211,Paribar,30,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,"Repí_blica, Sí£o Paulo",-46.64159444,-23.54664167,"Brazilian, Italian",26.62,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46.0,Brazil,2
73,6705858,Terraí_o Itíçlia,30,Sí£o Paulo,"Edifí_cio Itíçlia - 41Á Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,"Repí_blica, Sí£o Paulo",-46.643425,-23.545163,Italian,71.0,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37.0,Brazil,1
74,6709580,Esquina Mocotí_,30,Sí£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,"Vila Maria, Sí£o Paulo",-46.581672,-23.486535,"Brazilian, North Eastern",17.75,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22.0,Brazil,2
75,6703176,Veloso,30,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,"Vila Mariana, Sí£o Paulo",-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",12.42,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58.0,Brazil,3
76,6713772,Sainte Marie Gastronomia,30,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Vila SíÇnia, Sí£o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",21.3,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11.0,Brazil,2
77,17284404,Austin's BBQ and Oyster Bar,216,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,31.610387,"BBQ, Burger, Seafood",25.0,Dollar($),No,No,No,No,2,3.3,Orange,Average,35.0,United States,3
78,17284203,BJ's Country Buffet,216,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.207095,31.608743,"American, BBQ",10.0,Dollar($),No,No,No,No,1,3.3,Orange,Average,25.0,United States,2
79,17284105,Cookie Shoppe,216,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.154,31.5772,American,26.705882352941178,Dollar($),No,No,No,No,1,3.4,Orange,Average,34.0,United States,1
80,17284302,El Vaquero Mexican Restaurant,216,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,Mexican,26.705882352941178,Dollar($),No,No,No,No,1,3.4,Orange,Average,45.0,United States,1
81,17284397,Elements Coffee Co - Northwest,216,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",-84.206944,31.622412,"Coffee and Tea, Sandwich",10.0,Dollar($),No,No,No,No,1,3.4,Orange,Average,26.0,United States,2
